Occhiali iGreen;GreenVision;O;78;Occhiali iGreen_GreenVision_1
Original Wayfarer Classic;RayBan;O;139;Original Wayfarer Classic_RayBan_1
Wayfarer Folding Classic;RayBan;O;152;Wayfarer Folding Classic_RayBan_1
Flak Draft Prizm Golf sport;Oakley;O;179;Flak Draft Prizm Golf sport_Oakley_1
649 Series PO7649S Vincent Gallo;Persol;O;68;649 Series PO7649S Vincent Gallo_Persol_1
Spirit titanium;Lindberg;O;750;Spirit titanium_Lindberg_1
buffalo titanium;Lindberg;O;2080;Buffalo titanium_Lindberg_1
Strip titanium;Lindberg;O;1500;Strip titanium_Lindberg_1
Dailies AcquaComfort Plus;Alcon;L;13.99;Dailies AcquaComfort Plus_Alcon_1
Dailies Total 1;Alcon;L;46;Dailies Total 1_Alcon_1
1-Day Acuvue TrueEye;Acuvue;L;21;1-Day Acuvue TrueEye_Acuvue_1
Bio true OneDay;Biotrue;L;63;Bio true OneDay_Biotrue_1
Frequency 1 Day Toric;Frequency;L;30;Frequency 1 Day Toric_Frequency_1
