Dailies AcquaComfort Plus;Alcon;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;15;5;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;5;4.5;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;25;4;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;20;3.5;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;22;3;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;15;2.5;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;42;2;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;21;1.5;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;41;1;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;5;0.5;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;2;0;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;32;-0.5;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;6;-1;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;10;-1.5;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;28;-2;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;18;-2.5;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;39;-3;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;17;-3.5;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;25;-4;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;2;-4.5;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;41;-5;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;17;-5.5;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;28;-6;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;35;-6.5;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;26;-7;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;24;-7.5;G;30;8.7;14;/N
Dailies AcquaComfort Plus;Alcon;25;-8;G;30;8.7;14;/N
Dailies Total 1;Alcon;2;8;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;29;7.5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;2;7;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;12;6.5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;21;6;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;32;5.5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;11;5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;22;4.5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;35;4;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;26;3.5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;14;3;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;21;2.5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;15;2;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;12;1.5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;12;1;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;21;0.5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;32;0;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;15;-0.5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;54;-1;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;23;-1.5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;12;-2;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;25;-2.5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;36;-3;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;51;-3.5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;14;-4;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;32;-4.5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;5;-5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;36;-5.5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;21;-6;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;18;-6.5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;28;-7;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;27;-7.5;Q;6;8.5;14.1;/N
Dailies Total 1;Alcon;27;-8;Q;6;8.5;14.1;/N
1-Day Acuvue TrueEye;Acuvue;27;8;G;30;8.5;14.2;/N
1-Day Acuvue TrueEye;Acuvue;27;7.5;G;30;8.5;14.2;/N
1-Day Acuvue TrueEye;Acuvue;27;7;G;30;8.5;14.2;/N
1-Day Acuvue TrueEye;Acuvue;28;6.5;G;30;8.5;14.2;/N
1-Day Acuvue TrueEye;Acuvue;28;6;G;30;8.5;14.2;/N
1-Day Acuvue TrueEye;Acuvue;28;5.5;G;30;8.5;14.2;/N
1-Day Acuvue TrueEye;Acuvue;28;5;G;30;8.5;14.2;/N
1-Day Acuvue TrueEye;Acuvue;28;4.5;G;30;8.5;14.2;/N
1-Day Acuvue TrueEye;Acuvue;28;4;G;30;8.5;14.2;/N
1-Day Acuvue TrueEye;Acuvue;2;3.5;G;30;8.5;14.2;/N
1-Day Acuvue TrueEye;Acuvue;82;3;G;30;8.5;14.2;/N
1-Day Acuvue TrueEye;Acuvue;2;2.5;G;30;8.5;14.2;/N
1-Day Acuvue TrueEye;Acuvue;8;2;G;30;8.5;14.2;/N
1-Day Acuvue TrueEye;Acuvue;28;1.5;G;30;8.5;14.2;/N
1-Day Acuvue TrueEye;Acuvue;2;1;G;30;8.5;14.2;/N
